DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5
09-Feb-21,5,10,24,31,37
05-Feb-21,12,19,37,44,45
02-Feb-21,18,20,35,38,48
29-Jan-21,1,5,27,36,42
26-Jan-21,5,7,25,37,40
22-Jan-21,8,16,42,44,47
19-Jan-21,25,27,31,35,43
15-Jan-21,4,10,27,38,40
12-Jan-21,2,10,18,34,35
08-Jan-21,18,23,37,41,42
05-Jan-21,12,34,37,38,42
01-Jan-21,16,28,32,44,48
29-Dec-20,7,32,39,40,45
25-Dec-20,16,21,27,30,32
22-Dec-20,2,10,16,42,50
18-Dec-20,2,3,13,17,21
15-Dec-20,9,13,21,29,35
11-Dec-20,6,9,13,24,41
08-Dec-20,1,4,21,24,46
04-Dec-20,14,20,27,34,38
01-Dec-20,14,20,29,47,49
27-Nov-20,2,5,8,14,16
24-Nov-20,25,33,38,42,50
20-Nov-20,28,29,39,48,50
17-Nov-20,16,19,25,30,44
13-Nov-20,1,5,17,28,31
10-Nov-20,3,19,29,32,38
06-Nov-20,7,12,37,40,50
03-Nov-20,5,7,18,20,30
30-Oct-20,12,16,20,21,28
27-Oct-20,13,15,28,32,44
23-Oct-20,10,15,19,21,23
20-Oct-20,5,6,15,37,42
16-Oct-20,15,33,38,40,50
13-Oct-20,5,14,38,41,46
09-Oct-20,11,15,35,41,50
06-Oct-20,4,21,36,41,47
02-Oct-20,6,12,15,40,45
29-Sep-20,4,14,16,41,44
25-Sep-20,19,23,34,37,45
22-Sep-20,16,25,28,39,40
18-Sep-20,2,10,19,25,45
15-Sep-20,16,20,25,30,38
11-Sep-20,34,38,42,43,45
08-Sep-20,2,9,31,35,41
04-Sep-20,6,22,29,40,43
01-Sep-20,4,8,10,33,46
28-Aug-20,7,12,16,17,31
25-Aug-20,7,18,30,37,39
21-Aug-20,10,15,35,44,50
18-Aug-20,6,12,17,34,42
14-Aug-20,9,10,19,42,49
05-Jul-19,2,9,20,34,42
02-Jul-19,11,19,29,44,45
28-Jun-19,1,3,16,33,49
25-Jun-19,6,26,27,34,46
21-Jun-19,5,8,9,25,39
18-Jun-19,12,24,37,40,44
14-Jun-19,1,13,30,31,39
11-Jun-19,25,27,39,42,46
07-Jun-19,1,4,16,20,34
04-Jun-19,9,31,32,39,41
31-May-19,1,23,24,26,35
28-May-19,7,19,20,28,29
24-May-19,5,16,23,30,49
21-May-19,32,33,34,39,47
17-May-19,16,28,42,43,45
14-May-19,10,14,17,25,50
10-May-19,1,4,27,45,48
07-May-19,7,20,26,32,47
03-May-19,2,9,20,27,43
30-Apr-19,5,12,20,26,48
26-Apr-19,14,33,35,47,50
23-Apr-19,18,23,27,42,44
19-Apr-19,7,8,32,41,49
16-Apr-19,1,8,15,44,49
12-Apr-19,1,28,35,36,46
09-Apr-19,18,21,29,38,41
05-Apr-19,1,7,10,29,45
02-Apr-19,2,9,16,26,36
29-Mar-19,13,23,26,32,47
26-Mar-19,12,19,23,43,47
22-Mar-19,4,17,26,30,43
19-Mar-19,1,6,9,34,47
15-Mar-19,3,15,24,42,46
12-Mar-19,5,7,13,19,31
08-Mar-19,17,18,19,24,40
05-Mar-19,6,10,16,39,46
01-Mar-19,6,9,19,26,31
26-Feb-19,3,15,29,35,47
22-Feb-19,3,27,29,33,50
19-Feb-19,1,8,18,19,39
15-Feb-19,15,27,34,38,49
12-Feb-19,6,34,36,41,50
08-Feb-19,11,12,13,39,46
05-Feb-19,14,25,31,37,43
01-Feb-19,3,21,26,41,46
29-Jan-19,14,24,26,32,39
25-Jan-19,1,6,13,15,16
22-Jan-19,9,23,29,41,49
18-Jan-19,5,6,16,30,46
15-Jan-19,22,25,29,33,35
11-Jan-19,1,19,31,39,48
08-Jan-19,3,19,22,31,32
04-Jan-19,7,11,19,27,37
01-Jan-19,1,8,11,25,28
28-Dec-18,13,16,34,35,45
25-Dec-18,4,5,8,31,43
21-Dec-18,2,12,15,34,50
18-Dec-18,1,9,18,39,48
14-Dec-18,12,29,38,42,44
11-Dec-18,4,7,13,23,42
07-Dec-18,11,17,26,37,48
